"Uniprot","Genes","Pathways"
"O14832","PHYH","Cluster 5"
"O14841","OPLAH","Cluster 3"
"O14867","BACH1","Cluster 5"
"O14874","BCKDK","Cluster 4"
"O14879","IFIT3","Cluster 3"
"O14880","MGST3","Cluster 4"
"O14893","GEMIN2","Cluster 1"
"O14896","IRF6","Cluster 3"
"O14907","TAX1BP3","Cluster 3"
"O14908","GIPC1","Cluster 3"
"O14910","LIN7A","Cluster 3"
"O14920","IKBKB","Cluster 2"
"O14924","RGS12","Cluster 3"
"O14925","TIMM23","Cluster 4"
"O14929","HAT1","Cluster 2"
"O14933","UBE2L6","Cluster 3"
"O14936","CASK","Cluster 3"
"O14939","PLD2","Cluster 4"
"O14944","EREG","Cluster 3"
"O14949","UQCRQ","Cluster 3"
"O14964","HGS","Cluster 3"
"O14965","AURKA","Cluster 3"
"O14966","RAB29","Cluster 3"
"O14967","CLGN","Cluster 3"
"O14972","VPS26C","Cluster 2"
"O14975","SLC27A2","Cluster 3"
"O14976","GAK","Cluster 2"
"O14979","HNRNPDL","Cluster 5"
"O14980","XPO1","Cluster 2"
"O14981","BTAF1","Cluster 2"
"O14983","ATP2A1","Cluster 3"
"O15013","ARHGEF10","Cluster 3"
"O15014","ZNF609","Cluster 5"
"O15020","SPTBN2","Cluster 3"
"O15021","MAST4","Cluster 3"
"O15031","PLXNB2","Cluster 3"
"O15033","AREL1","Cluster 4"
"O15037","KHNYN","Cluster 1"
"O15040","TECPR2","Cluster 3"
"O15042","U2SURP","Cluster 5"
"O15047","SETD1A","Cluster 5"
"O15049","N4BP3","Cluster 3"
"O15050","TRANK1","Cluster 3"
"O15056","SYNJ2","Cluster 3"
"O15061","SYNM","Cluster 3"
"O15062","ZBTB5","Cluster 3"
"O15063","KIAA0355","Cluster 3"
"O15066","KIF3B","Cluster 2"
"O15067","PFAS","Cluster 1"
"O15069","NACAD","Cluster 3"
"O15075","DCLK1","Cluster 3"
"O15078","CEP290","Cluster 3"
"O15084","ANKRD28","Cluster 2"
"O15090","ZNF536","Cluster 4"
"O15111","CHUK","Cluster 2"
"O15116","LSM1","Cluster 1"
"O15118","NPC1","Cluster 4"
"O15119","TBX3","Cluster 3"
"O15120","AGPAT2","Cluster 3"
"O15121","DEGS1","Cluster 4"
"O15126","SCAMP1","Cluster 4"
"O15127","SCAMP2","Cluster 4"
"O15143","ARPC1B","Cluster 2"
"O15144","ARPC2","Cluster 2"
"O15145","ARPC3","Cluster 2"
"O15155","BET1","Cluster 4"
"O15160","POLR1C","Cluster 5"
"O15162","PLSCR1","Cluster 3"
"O15164","TRIM24","Cluster 5"
"O15169","AXIN1","Cluster 3"
"O15194","CTDSPL","Cluster 3"
"O15195","VILL","Cluster 3"
"O15198","SMAD9","Cluster 3"
"O15211","RGL2","Cluster 2"
"O15212","PFDN6","Cluster 1"
"O15213","WDR46","Cluster 4"
"O15228","GNPAT","Cluster 4"
"O15229","KMO","Cluster 3"
"O15230","LAMA5","Cluster 4"
"O15234","CASC3","Cluster 1"
"O15235","MRPS12","Cluster 5"
"O15240","VGF","Cluster 3"
"O15243","LEPROT","Cluster 4"
"O15247","CLIC2","Cluster 3"
"O15254","ACOX3","Cluster 4"
"O15258","RER1","Cluster 4"
"O15260","SURF4","Cluster 4"
"O15264","MAPK13","Cluster 3"
"O15269","SPTLC1","Cluster 4"
"O15270","SPTLC2","Cluster 4"
"O15287","FANCG","Cluster 4"
"O15294","OGT","Cluster 4"
"O15297","PPM1D","Cluster 5"
"O15304","SIVA1","Cluster 3"
"O15305","PMM2","Cluster 1"
"O15318","POLR3G","Cluster 5"
"O15327","INPP4B","Cluster 3"
"O15344","MID1","Cluster 3"
"O15347","HMGB3","Cluster 1"
"O15355","PPM1G","Cluster 1"
"O15357","INPPL1","Cluster 2"
"O15360","FANCA","Cluster 3"
"O15370","SOX12","Cluster 3"
"O15371","EIF3D","Cluster 2"
"O15372","EIF3H","Cluster 2"
"O15379","HDAC3","Cluster 4"
"O15381","NVL","Cluster 5"
"O15382","BCAT2","Cluster 4"
"O15392","BIRC5","Cluster 5"
"O15394","NCAM2","Cluster 3"
"O15397","IPO8","Cluster 2"
"O15400","STX7","Cluster 5"
"O15403","SLC16A6","Cluster 3"
"O15417","TNRC18","Cluster 5"
"O15427","SLC16A3","Cluster 3"
"O15431","SLC31A1","Cluster 4"
"O15439","ABCC4","Cluster 3"
"O15440","ABCC5","Cluster 4"
"O15455","TLR3","Cluster 3"
"O15460","P4HA2","Cluster 3"
"O15479","MAGEB2","Cluster 5"
"O15481","MAGEB4","Cluster 3"
"O15484","CAPN5","Cluster 3"
"O15488","GYG2","Cluster 3"
"O15498","YKT6","Cluster 2"
"O15511","ARPC5","Cluster 1"
"O15514","POLR2D","Cluster 5"
"O15516","CLOCK","Cluster 3"
"O15523","DDX3Y","Cluster 3"
"O15525","MAFG","Cluster 5"
"O15530","PDPK1","Cluster 2"
"O15534","PER1","Cluster 5"
"O15540","FABP7","Cluster 3"
"O15541","RNF113A","Cluster 1"
"O15550","KDM6A","Cluster 3"
"O15551","CLDN3","Cluster 3"
"O15554","KCNN4","Cluster 3"
"O43143","DHX15","Cluster 4"
